rotationCannotBeNegative,Tetrimino,11
rotationCannotBeNegative,Tetrimino,12
rotationCannotBeNegative,Tetrimino,14
rotationCannotBeNegative,Tetrimino,15
rotationCannotBeNegative,Tetrimino,16
rotationCannotBeNegative,Tetrimino,31
rotationCannotBeNegative,Tetrimino,32
rotationCannotBeNegative,Tetrimino,34
rotationCannotBeNegative,Tetrimino,37
rotationCannotBeNegative,Tetrimino,38
rotationCannotBeNegative,Tetrimino,39
rotationCannotBeNegative,Tetrimino,40
rotationCannotBeNegative,Tetrimino,63
rotationCannotBeNegative,Tetrimino,75
rotationCannotBeNegative,Tetrimino,77
rotationCannotBeNegative,Tetrimino,78
rotationCannotBeNegative,Tetrimino,80
